,AC,AL,AM,AP,BA,CE,DF,ES,GO,MA,MG,MS,MT,PA,PB,PE,PI,PR,RJ,RN,RO,RR,RS,SC,SE,SP,TO
2021-01-05,0.37206835554807804,0.07671740689127207,0.37225235232189446,0.1563114707726666,0.2725080593664166,0.2411493042449388,0.09840880149080382,0.13551568943566963,0.3178376212234357,0.5950024901366062,0.2696264715792098,0.07576741822790543,0.3207083462277112,0.32528371886972635,0.19315979443857284,0.12163372962434874,0.2070788289440649,0.3923192568361042,0.26762714452564795,0.27901265141784176,0.2673264048630129,0.24360461451320176,0.11001892023671628,0.16598960180752484,0.19218167618766593,0.2549357277738003,0.29171230335945497
2021-01-06,0.34983794988855393,0.06496519165579011,0.32452782965000343,0.13150160530192537,0.26441712900419223,0.23315178924683944,0.08572286531769294,0.1571157376215646,0.2596331552373513,0.4410439353497446,0.18602809325241101,0.0870060925574596,0.2809246644904007,0.3131676067335271,0.19560016977414396,0.12776296696329884,0.18999812426746202,0.38727907497937153,0.2508151922905944,0.2793231724989369,0.2217315562135006,0.26603282600609784,0.10409811780872466,0.14176447530907094,0.19596898033577176,0.1827139415848435,0.26389774832471097
2021-01-07,0.37654271850622745,0.06493302750922678,0.3105856873639894,0.13171528358430407,0.27532082500962535,0.23223815583686047,0.08650752100336226,0.07804290649922688,0.2751711176229723,0.4052241061854776,0.22352397956270187,0.09482037934189314,0.21370267167941107,0.2587285565339252,0.20000446371284453,0.13380847247409947,0.2060373426936739,0.39158645797170355,0.2459586043833241,0.28518722057474827,0.22264880961468883,0.21674653955682543,0.10888009711286795,0.13087843850898692,0.20280762724200552,0.17365518876830022,0.23649842759710665
2021-01-08,0.3093941923106947,0.066826364763954,0.37110088381475526,0.1116283782377026,0.24548024688943929,0.22942584944437366,0.09374652403506335,0.07276849016834079,0.20947482782663784,0.4612712515999151,0.1564008556110926,0.09528994072038063,0.17279306342220388,0.20535709354539441,0.19087571346202248,0.13848576831547674,0.18122689580930595,0.34479917508894453,0.2765831390659241,0.26784712618726275,0.21495197878422603,0.25765189951656564,0.09069462339213707,0.13180886049389454,0.2157013149730666,0.13632434923855105,0.1885824340293868
2021-01-09,0.3333194166065182,0.07046143724137667,0.1981521833245327,0.13244957002811208,0.24778999369621849,0.22471401321748502,0.0989432536823445,0.0830165190731651,0.2376785632317279,0.34166623619976655,0.11069258221563882,0.09991332297073359,0.1590109068930032,0.16472229410261124,,0.13074864830485103,0.11486925050507951,0.37549918613841526,0.254579261322303,0.23871059059498365,0.21691008729195171,0.24599136553902384,0.0947288102747688,0.14025558404807478,0.24088107873131234,0.1266003378924052,0.13996364344201676
2021-01-10,0.2851232888510949,0.0752825017975533,0.19399574296201155,0.14544729295098766,0.26811364690193595,0.23845318434020416,0.0976124791343119,0.10355777492893989,0.2744237403748088,0.4117310392064271,0.10813034351490688,0.1219117519399311,0.14019586199774708,0.1602425698041653,0.2057740881211193,0.1326251203745519,0.12233597208525993,0.34024694189716403,0.26032673009722945,0.23736893308189347,0.23122436021840848,0.26269708382813045,0.13129944599509788,0.14414653968076913,0.2683697130318661,0.12168935618185185,0.15802478757076402
2021-01-11,0.27203916705086817,0.07846148189868707,0.2007358033377237,0.1563517047057498,0.27272631386644813,0.2288423393463138,0.09746865358679892,0.11013635997337656,0.2894463783962891,0.3996888271271174,0.11641851281214805,0.1466504590660087,0.1392981428060364,0.15954508547927967,0.2159176285221106,0.13881622330046225,0.10603769611193775,0.3258784466796888,0.2734099039512031,0.24359514611903807,0.19729258919467155,0.2941174642102748,0.15445389579841404,0.1327236740337714,0.285112465281946,0.1297957137731973,0.17562805415001073
2021-01-12,0.283556404416895,0.08409019138685626,0.20265158365021319,0.15743165518143323,0.30996227706526147,0.19410905180826532,0.10506222179956672,0.11895473685928992,0.2313010291414346,0.3057535599732108,0.12043337510360981,0.12361413454466144,0.10136998762313776,0.15032812930338954,0.21423188246560587,0.14864947066546577,0.11382314314788694,0.35094995439828797,0.2765155215807195,0.2486009435819811,0.14421231546294624,0.30809606931074834,0.13133635648204534,0.13387146075210654,0.25080068169962333,0.13049896307536035,0.12826102185968155
2021-01-13,0.23246765613937126,0.08409001317559679,0.20324128082550766,0.16278724091684285,0.2882565929114364,0.14286973380048235,0.09538501144493876,0.1300035339931498,0.2437582687893555,0.2712757301655591,0.11954354262344191,0.12068777081805442,0.10490318739225701,0.16166224163835533,0.23865337900727263,0.1535104491049326,0.10478035232197253,0.23778047036751654,0.26654978756363373,0.22526718528351047,0.16304134830899591,0.2930502948201145,0.13745102019452043,0.1368501003522378,0.24751165446695628,0.13451228480843813,0.12270478567889018
2021-01-14,0.22861696879433274,0.08281225940864705,0.2066900868616002,0.16392103349822396,0.233676236222652,0.16027252095045752,0.10745342270043279,0.14480881719648406,0.24940501076924107,0.23747671947379287,0.11781611470123382,0.12012810387866348,0.11827955950202847,0.18567944210210002,0.22311744919155982,0.15375127512892192,0.1066875008577604,0.23932667387922824,0.2680392502842939,0.20898728651211942,0.1091238439722175,0.26279126829625704,0.1415152416714364,0.14797286297764803,0.2663285323856622,0.13830591600279007,0.1263607394261947
2021-01-15,0.25448002119400914,0.08409049829804117,0.19867518061156658,0.16792689717156642,0.11521251996678356,0.14326364227711189,0.12092383704157333,0.15403481647876618,0.24804292748554463,0.18416349474296742,0.14728978464619724,0.13244457931495354,0.1233703818672551,0.15703074931125202,0.23940429450051315,0.1407203536889197,0.13529496540569777,0.23665238251876658,0.27397284254015647,0.18574466036258652,0.06785868469201094,0.28239095508633777,0.1492060036887933,0.14980295227140714,0.270166133268669,0.1316804295369276,0.13044184346274953
2021-01-16,0.2045691164855584,0.08534721634459067,0.2056375514469701,0.1909865962960567,0.06738304661302964,0.14730938952334685,0.11773512437002359,0.17552809897881308,0.2470069651598706,0.197217419214531,0.14145098532108868,0.15803374375871077,0.132035160992946,0.15605618991057463,0.23210465644894376,0.14906590614846252,0.1352282330686152,0.24078752157364502,0.26709861913373545,0.17799200678516025,0.07958877272013394,0.19749649028787222,0.15934212656047128,0.16102274702592387,0.1762572389254724,0.130835734957664,0.15233767571275877
2021-01-17,0.21697189425439517,0.08285281912043203,0.20434422909847033,0.1801732855938225,0.08508913739157316,0.1781044774604675,0.14624571760996505,0.1601144219758858,0.243189020857435,0.2170876704254432,0.1739076346729341,0.18594829242921634,0.14222652955720647,0.14134670688880147,0.20943912405851167,0.12854369373376565,0.12714149697554458,0.2396690729409497,0.2948309114072463,0.19503405960342693,0.08237114548065246,0.19003556913981617,0.19331822926846093,0.13741769039188387,0.16344483362562917,0.1290579242690735,0.18570420242196534
2021-01-18,0.2044520555949337,0.08168591491216336,0.21319869681502515,0.1550720783545108,0.11876141495083593,0.17688909484713003,0.11157955965325425,0.17678294736913425,0.25027294473497586,0.19176173865238158,0.15433667636871093,0.17914238245679462,0.14425640063090836,0.19184003199055494,0.23908382145419804,0.12049582306246817,0.10544964386821747,0.20339679749167588,0.24342048968131857,0.19743114431081907,0.08561648366358779,0.1906972480356567,0.1976533693965908,0.11978452686611231,0.10308298053067959,0.14708353145987596,0.16448236436760097
2021-01-19,0.1357530722902182,0.09033107400279612,0.18852526365799854,0.16392933770907855,0.1266974985940711,0.21475453716406678,0.14390263056083588,0.16623977573621287,0.24764522355002966,0.17308982222494362,0.14880715045364057,0.19144641650451416,0.15498182782011335,0.1818176217573973,0.2641160640235889,0.12336746298057283,0.11386536665451122,0.20270572559429847,0.24354953413457048,0.1852529634857223,0.07368874795971073,0.19624563246754154,0.2056342576851178,0.12334845317956042,0.122352535021182,0.14119972507582954,0.19055986997846877
